架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
Q2-001,U01,A,BAT-A-01,0,S007,1727.46688583,1.90538330026
Q2-002,U02,A,BAT-A-02,0,S014,1990.39888529,2.2908783476
Q2-003,U03,A,BAT-A-03,0,S002,2003.77520846,2.92001768469
Q2-004,U04,A,BAT-A-04,0,S010,1594.89266991,1.8679649735
Q2-005,U05,B,BAT-B-01,0,S001,1209.10617589,1.07397225779
Q2-006,U06,B,BAT-B-02,0,S006,1207.27001136,1.09874729527
Q2-007,U07,C,BAT-C-01,0,S002,2107.84216605,6.10579695278
Q2-008,U08,C,BAT-C-02,0,S010,1602.73236492,3.14986064617
Q2-009,U06,B,BAT-B-03,1207.27001136,S013,2717.78160014,1.82482819123
Q2-010,U05,B,BAT-B-04,1209.10617589,S012,3131.93299014,2.75259995448
Q2-011,U04,A,BAT-A-05,1594.89266991,S014,3525.2915552,2.18849262159
Q2-012,U08,C,BAT-C-03,1602.73236492,S003,4038.91007608,6.32449939108
Q2-013,U07,C,BAT-C-04,2107.84216605,S004,4408.89688486,6.15286012898
Q2-014,U06,B,BAT-B-01,2717.78160014,S015,4546.1091603,2.30752850568
Q2-015,U05,B,BAT-B-02,3131.93299014,S009,4690.39585456,2.09626540189
Q2-016,U08,C,BAT-C-02,4038.91007608,S008,6238.62160075,5.83602066813
Q2-017,U06,B,BAT-B-03,4546.1091603,S011,5734.53392314,1.07393668627
Q2-018,U07,C,BAT-C-01,4594.82884076,S005,6472.01755629,4.22213737338
Q2-019,U05,B,BAT-B-04,4991.39297041,S003,7012.00263551,2.42425540252
Q2-020,U07,C,BAT-C-03,6585.12866116,S001,8079.30370708,2.99577580536
Q2-021,U08,C,BAT-C-04,6908.62983645,S006-S007,9322.21028622,4.28804713771
Q2-022,U07,C,BAT-C-01,8448.84642824,S001,9943.02147417,2.40502836213
