货箱编号,架次编号,服务区编号,交付完成时刻（s）
S006-MED-01,Q2-006,S006,882.398339011
S006-WAT-01,Q2-006,S006,882.398339011
S001-MED-01,Q2-005,S001,917.676421277
S001-MED-02,Q2-005,S001,917.676421277
S001-WAT-01,Q2-005,S001,917.676421277
S010-FOD-01,Q2-004,S010,1044.98300162
S010-MED-01,Q2-008,S010,1096.17118246
S010-WAT-01,Q2-008,S010,1096.17118246
S007-MED-01,Q2-001,S007,1141.37344292
S007-WAT-01,Q2-001,S007,1141.37344292
S014-MED-01,Q2-002,S014,1272.75610931
S014-WAT-01,Q2-002,S014,1272.75610931
S002-MED-01,Q2-003,S002,1283.82760423
S002-WAT-01,Q2-003,S002,1283.82760423
S002-FOD-01,Q2-007,S002,1487.33108302
S002-FOD-02,Q2-007,S002,1487.33108302
S002-HYG-01,Q2-007,S002,1487.33108302
S002-WAT-02,Q2-007,S002,1487.33108302
S002-WAT-03,Q2-007,S002,1487.33108302
S002-WAT-04,Q2-007,S002,1487.33108302
S013-FOD-01,Q2-009,S013,2270.05913908
S013-MED-01,Q2-009,S013,2270.05913908
S013-WAT-01,Q2-009,S013,2270.05913908
S012-FOD-01,Q2-010,S012,2480.44958301
S012-MED-01,Q2-010,S012,2480.44958301
S012-WAT-01,Q2-010,S012,2480.44958301
S014-FOD-01,Q2-011,S014,2807.64877922
S003-FOD-01,Q2-012,S003,3248.2812205
S003-MED-01,Q2-012,S003,3248.2812205
S003-WAT-01,Q2-012,S003,3248.2812205
S003-WAT-02,Q2-012,S003,3248.2812205
S003-WAT-03,Q2-012,S003,3248.2812205
S003-WAT-04,Q2-012,S003,3248.2812205
S004-FOD-01,Q2-013,S004,3691.33952545
S004-HYG-01,Q2-013,S004,3691.33952545
S004-MED-01,Q2-013,S004,3691.33952545
S004-WAT-01,Q2-013,S004,3691.33952545
S004-WAT-02,Q2-013,S004,3691.33952545
S004-WAT-03,Q2-013,S004,3691.33952545
S015-FOD-01,Q2-014,S015,3935.38538022
S015-MED-01,Q2-014,S015,3935.38538022
S015-WAT-01,Q2-014,S015,3935.38538022
S009-FOD-01,Q2-015,S009,4222.75442235
S009-MED-01,Q2-015,S009,4222.75442235
S009-WAT-01,Q2-015,S009,4222.75442235
S011-FOD-01,Q2-017,S011,5452.50820839
S011-MED-01,Q2-017,S011,5452.50820839
S011-WAT-01,Q2-017,S011,5452.50820839
S008-FOD-01,Q2-016,S008,5536.60583841
S008-HYG-01,Q2-016,S008,5536.60583841
S008-MED-01,Q2-016,S008,5536.60583841
S008-WAT-01,Q2-016,S008,5536.60583841
S008-WAT-02,Q2-016,S008,5536.60583841
S005-FOD-01,Q2-018,S005,5968.05819852
S005-HYG-01,Q2-018,S005,5968.05819852
S005-MED-01,Q2-018,S005,5968.05819852
S005-WAT-01,Q2-018,S005,5968.05819852
S005-WAT-02,Q2-018,S005,5968.05819852
S005-WAT-03,Q2-018,S005,5968.05819852
S003-FOD-02,Q2-019,S003,6279.67113629
S003-HYG-01,Q2-019,S003,6279.67113629
S001-FOD-01,Q2-020,S001,7767.40118412
S001-WAT-02,Q2-020,S001,7767.40118412
S001-WAT-03,Q2-020,S001,7767.40118412
S001-WAT-04,Q2-020,S001,7767.40118412
S001-WAT-05,Q2-020,S001,7767.40118412
S001-WAT-06,Q2-020,S001,7767.40118412
S006-FOD-01,Q2-021,S006,8076.05114869
S006-HYG-01,Q2-021,S006,8076.05114869
S006-WAT-02,Q2-021,S006,8076.05114869
S006-WAT-03,Q2-021,S006,8076.05114869
S007-FOD-01,Q2-021,S007,8762.36993705
S007-HYG-01,Q2-021,S007,8762.36993705
S007-WAT-02,Q2-021,S007,8762.36993705
S001-FOD-02,Q2-022,S001,9631.1189512
S001-FOD-03,Q2-022,S001,9631.1189512
S001-HYG-01,Q2-022,S001,9631.1189512
S001-HYG-02,Q2-022,S001,9631.1189512
S001-WAT-07,Q2-022,S001,9631.1189512
S001-WAT-08,Q2-022,S001,9631.1189512
