box_id,service_id,delivery_s,expected_s,hard_deadline_s,priority,type_id,aircraft_id,battery_id,route_index,flight_id
S013-FOD-01,S013,1062.78912773,7200,,10,B,U06,BAT-B-02,11,Q2-002
S013-MED-01,S013,1062.78912773,3600,3600,24,B,U06,BAT-B-02,11,Q2-002
S013-WAT-01,S013,1062.78912773,3600,3600,12,B,U06,BAT-B-02,11,Q2-002
S002-MED-01,S002,1160.30204066,3600,3600,24,B,U05,BAT-B-01,1,Q2-001
S002-WAT-01,S002,1160.30204066,3600,3600,12,B,U05,BAT-B-01,1,Q2-001
S010-FOD-01,S010,1162.17118246,7200,,10,C,U07,BAT-C-01,12,Q2-003
S010-MED-01,S010,1162.17118246,3600,3600,24,C,U07,BAT-C-01,12,Q2-003
S010-WAT-01,S010,1162.17118246,3600,3600,12,C,U07,BAT-C-01,12,Q2-003
S006-FOD-01,S006,1209.42131224,7200,,10,C,U08,BAT-C-02,14,Q2-004
S006-HYG-01,S006,1209.42131224,10800,,8,C,U08,BAT-C-02,14,Q2-004
S006-MED-01,S006,1209.42131224,3600,3600,24,C,U08,BAT-C-02,14,Q2-004
S006-WAT-01,S006,1209.42131224,3600,3600,12,C,U08,BAT-C-02,14,Q2-004
S006-WAT-02,S006,1209.42131224,3600,,12,C,U08,BAT-C-02,14,Q2-004
S006-WAT-03,S006,1209.42131224,3600,,12,C,U08,BAT-C-02,14,Q2-004
S012-FOD-01,S012,2781.85499591,7200,,10,B,U06,BAT-B-03,10,Q2-005
S012-MED-01,S012,2781.85499591,7200,3600,22,B,U06,BAT-B-03,10,Q2-005
S012-WAT-01,S012,2781.85499591,3600,3600,12,B,U06,BAT-B-03,10,Q2-005
S001-FOD-02,S001,2941.82514745,7200,,10,C,U08,BAT-C-03,16,Q2-006
S001-FOD-03,S001,2941.82514745,7200,,10,C,U08,BAT-C-03,16,Q2-006
S001-HYG-01,S001,2941.82514745,10800,,8,C,U08,BAT-C-03,16,Q2-006
