box_id,service_id,delivery_s,expected_s,hard_deadline_s,priority,type_id,aircraft_id,battery_id,route_index,flight_id
S006-MED-01,S006,882.398339011,3600,3600,24,B,U06,BAT-B-02,9,Q2-006
S006-WAT-01,S006,882.398339011,3600,3600,12,B,U06,BAT-B-02,9,Q2-006
S001-MED-01,S001,917.676421277,3600,3600,24,B,U05,BAT-B-01,0,Q2-005
S001-MED-02,S001,917.676421277,3600,3600,24,B,U05,BAT-B-01,0,Q2-005
S001-WAT-01,S001,917.676421277,3600,3600,12,B,U05,BAT-B-01,0,Q2-005
S010-FOD-01,S010,1044.98300162,7200,,10,A,U04,BAT-A-04,14,Q2-004
S010-MED-01,S010,1096.17118246,3600,3600,24,C,U08,BAT-C-02,13,Q2-008
S010-WAT-01,S010,1096.17118246,3600,3600,12,C,U08,BAT-C-02,13,Q2-008
S007-MED-01,S007,1141.37344292,3600,3600,24,A,U01,BAT-A-01,10,Q2-001
S007-WAT-01,S007,1141.37344292,3600,3600,12,A,U01,BAT-A-01,10,Q2-001
S014-MED-01,S014,1272.75610931,7200,3600,22,A,U02,BAT-A-02,16,Q2-002
S014-WAT-01,S014,1272.75610931,3600,3600,12,A,U02,BAT-A-02,16,Q2-002
S002-MED-01,S002,1283.82760423,3600,3600,24,A,U03,BAT-A-03,3,Q2-003
S002-WAT-01,S002,1283.82760423,3600,3600,12,A,U03,BAT-A-03,3,Q2-003
S002-FOD-01,S002,1487.33108302,7200,,10,C,U07,BAT-C-01,4,Q2-007
S002-FOD-02,S002,1487.33108302,7200,,10,C,U07,BAT-C-01,4,Q2-007
S002-HYG-01,S002,1487.33108302,10800,,8,C,U07,BAT-C-01,4,Q2-007
S002-WAT-02,S002,1487.33108302,3600,,12,C,U07,BAT-C-01,4,Q2-007
S002-WAT-03,S002,1487.33108302,3600,,12,C,U07,BAT-C-01,4,Q2-007
S002-WAT-04,S002,1487.33108302,3600,,12,C,U07,BAT-C-01,4,Q2-007
S013-FOD-01,S013,2270.05913908,7200,,10,B,U06,BAT-B-03,21,Q2-009
S013-MED-01,S013,2270.05913908,3600,3600,24,B,U06,BAT-B-03,21,Q2-009
S013-WAT-01,S013,2270.05913908,3600,3600,12,B,U06,BAT-B-03,21,Q2-009
S012-FOD-01,S012,2480.44958301,7200,,10,B,U05,BAT-B-04,20,Q2-010
S012-MED-01,S012,2480.44958301,7200,3600,22,B,U05,BAT-B-04,20,Q2-010
S012-WAT-01,S012,2480.44958301,3600,3600,12,B,U05,BAT-B-04,20,Q2-010
S014-FOD-01,S014,2807.64877922,7200,,10,A,U04,BAT-A-05,17,Q2-011
S003-FOD-01,S003,3248.2812205,10800,,8,C,U08,BAT-C-03,5,Q2-012
S003-MED-01,S003,3248.2812205,7200,7200,20,C,U08,BAT-C-03,5,Q2-012
S003-WAT-01,S003,3248.2812205,7200,7200,10,C,U08,BAT-C-03,5,Q2-012
S003-WAT-02,S003,3248.2812205,7200,,10,C,U08,BAT-C-03,5,Q2-012
S003-WAT-03,S003,3248.2812205,7200,,10,C,U08,BAT-C-03,5,Q2-012
S003-WAT-04,S003,3248.2812205,7200,,10,C,U08,BAT-C-03,5,Q2-012
S004-FOD-01,S004,3691.33952545,10800,,8,C,U07,BAT-C-04,7,Q2-013
S004-HYG-01,S004,3691.33952545,14400,,6,C,U07,BAT-C-04,7,Q2-013
S004-MED-01,S004,3691.33952545,7200,7200,20,C,U07,BAT-C-04,7,Q2-013
S004-WAT-01,S004,3691.33952545,7200,7200,10,C,U07,BAT-C-04,7,Q2-013
S004-WAT-02,S004,3691.33952545,7200,,10,C,U07,BAT-C-04,7,Q2-013
S004-WAT-03,S004,3691.33952545,7200,,10,C,U07,BAT-C-04,7,Q2-013
S015-FOD-01,S015,3935.38538022,14400,,6,B,U06,BAT-B-01,18,Q2-014
S015-MED-01,S015,3935.38538022,7200,7200,18,B,U06,BAT-B-01,18,Q2-014
S015-WAT-01,S015,3935.38538022,10800,10800,8,B,U06,BAT-B-01,18,Q2-014
S009-FOD-01,S009,4222.75442235,14400,,6,B,U05,BAT-B-02,12,Q2-015
S009-MED-01,S009,4222.75442235,10800,10800,16,B,U05,BAT-B-02,12,Q2-015
S009-WAT-01,S009,4222.75442235,10800,10800,8,B,U05,BAT-B-02,12,Q2-015
S011-FOD-01,S011,5452.50820839,14400,,6,B,U06,BAT-B-03,15,Q2-017
S011-MED-01,S011,5452.50820839,10800,10800,16,B,U06,BAT-B-03,15,Q2-017
S011-WAT-01,S011,5452.50820839,10800,10800,8,B,U06,BAT-B-03,15,Q2-017
S008-FOD-01,S008,5536.60583841,10800,,8,C,U08,BAT-C-02,11,Q2-016
S008-HYG-01,S008,5536.60583841,14400,,6,C,U08,BAT-C-02,11,Q2-016
S008-MED-01,S008,5536.60583841,7200,7200,20,C,U08,BAT-C-02,11,Q2-016
S008-WAT-01,S008,5536.60583841,7200,7200,10,C,U08,BAT-C-02,11,Q2-016
S008-WAT-02,S008,5536.60583841,7200,,10,C,U08,BAT-C-02,11,Q2-016
S005-FOD-01,S005,5968.05819852,14400,,6,C,U07,BAT-C-01,8,Q2-018
S005-HYG-01,S005,5968.05819852,18000,,4,C,U07,BAT-C-01,8,Q2-018
S005-MED-01,S005,5968.05819852,10800,10800,16,C,U07,BAT-C-01,8,Q2-018
S005-WAT-01,S005,5968.05819852,10800,10800,8,C,U07,BAT-C-01,8,Q2-018
S005-WAT-02,S005,5968.05819852,10800,,8,C,U07,BAT-C-01,8,Q2-018
S005-WAT-03,S005,5968.05819852,10800,,8,C,U07,BAT-C-01,8,Q2-018
S003-FOD-02,S003,6279.67113629,10800,,8,B,U05,BAT-B-04,6,Q2-019
S003-HYG-01,S003,6279.67113629,14400,,6,B,U05,BAT-B-04,6,Q2-019
S001-FOD-01,S001,7767.40118412,7200,,10,C,U07,BAT-C-03,1,Q2-020
S001-WAT-02,S001,7767.40118412,3600,,12,C,U07,BAT-C-03,1,Q2-020
S001-WAT-03,S001,7767.40118412,3600,,12,C,U07,BAT-C-03,1,Q2-020
S001-WAT-04,S001,7767.40118412,3600,,12,C,U07,BAT-C-03,1,Q2-020
S001-WAT-05,S001,7767.40118412,3600,,12,C,U07,BAT-C-03,1,Q2-020
S001-WAT-06,S001,7767.40118412,3600,,12,C,U07,BAT-C-03,1,Q2-020
S006-FOD-01,S006,8076.05114869,7200,,10,C,U08,BAT-C-04,19,Q2-021
S006-HYG-01,S006,8076.05114869,10800,,8,C,U08,BAT-C-04,19,Q2-021
S006-WAT-02,S006,8076.05114869,3600,,12,C,U08,BAT-C-04,19,Q2-021
S006-WAT-03,S006,8076.05114869,3600,,12,C,U08,BAT-C-04,19,Q2-021
S007-FOD-01,S007,8762.36993705,7200,,10,C,U08,BAT-C-04,19,Q2-021
S007-HYG-01,S007,8762.36993705,10800,,8,C,U08,BAT-C-04,19,Q2-021
S007-WAT-02,S007,8762.36993705,3600,,12,C,U08,BAT-C-04,19,Q2-021
S001-FOD-02,S001,9631.1189512,7200,,10,C,U07,BAT-C-01,2,Q2-022
S001-FOD-03,S001,9631.1189512,7200,,10,C,U07,BAT-C-01,2,Q2-022
S001-HYG-01,S001,9631.1189512,10800,,8,C,U07,BAT-C-01,2,Q2-022
S001-HYG-02,S001,9631.1189512,10800,,8,C,U07,BAT-C-01,2,Q2-022
S001-WAT-07,S001,9631.1189512,3600,,12,C,U07,BAT-C-01,2,Q2-022
S001-WAT-08,S001,9631.1189512,3600,,12,C,U07,BAT-C-01,2,Q2-022
