route_index,type_id,aircraft_id,battery_id,start_s,return_s,energy_kwh,return_soc,mass_kg,volume_m3,box_count,visit_order,duration_s,battery_recharged_s,boxes,flight_id
10,A,U01,BAT-A-01,0,1727.46688583,1.90538330026,0.576581488831,17,0.039,2,S007,1727.46688583,2777.91095035,S007-MED-01;S007-WAT-01,Q2-001
16,A,U02,BAT-A-02,0,1990.39888529,2.2908783476,0.490915922755,17,0.039,2,S014,1990.39888529,3152.20818571,S014-MED-01;S014-WAT-01,Q2-002
3,A,U03,BAT-A-03,0,2003.77520846,2.92001768469,0.351107181181,17,0.039,2,S002,2003.77520846,3347.33587292,S002-MED-01;S002-WAT-01,Q2-003
14,A,U04,BAT-A-04,0,1594.89266991,1.8679649735,0.584896672556,8,0.028,1,S010,1594.89266991,2634.52699559,S010-FOD-01,Q2-004
0,B,U05,BAT-B-01,0,1209.10617589,1.07397225779,0.731506935552,20,0.051,3,S001,1209.10617589,2341.16082093,S001-MED-01;S001-MED-02;S001-WAT-01,Q2-005
9,B,U06,BAT-B-02,0,1207.27001136,1.09874729527,0.725313176183,17,0.039,2,S006,1207.27001136,2350.06050597,S006-MED-01;S006-WAT-01,Q2-006
4,C,U07,BAT-C-01,0,2107.84216605,6.10579695278,0.236775380902,64,0.172,6,S002,2107.84216605,4594.82884076,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,Q2-007
13,C,U08,BAT-C-02,0,1602.73236492,3.14986064617,0.606267419229,17,0.039,2,S010,1602.73236492,3289.15295659,S010-MED-01;S010-WAT-01,Q2-008
21,B,U06,BAT-B-03,1207.27001136,2717.78160014,1.82482819123,0.543792952192,25,0.067,3,S013,1510.51158878,4175.20714967,S013-FOD-01;S013-MED-01;S013-WAT-01,Q2-009
20,B,U05,BAT-B-04,1209.10617589,3131.93299014,2.75259995448,0.311850011381,25,0.067,3,S012,1922.82681425,4991.39297041,S012-FOD-01;S012-MED-01;S012-WAT-01,Q2-010
17,A,U04,BAT-A-05,1594.89266991,3525.2915552,2.18849262159,0.513668306313,8,0.028,1,S014,1930.39888529,4657.522757,S014-FOD-01,Q2-011
5,C,U08,BAT-C-03,1602.73236492,4038.91007608,6.32449939108,0.209437576115,67,0.148,6,S003,2436.17771116,6585.12866116,S003-FOD-01;S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,Q2-012
7,C,U07,BAT-C-04,2107.84216605,4408.89688486,6.15286012898,0.230892483877,59,0.156,6,S004,2301.05471881,6908.62983645,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,Q2-013
18,B,U06,BAT-B-01,2717.78160014,4546.1091603,2.30752850568,0.423117873579,25,0.067,3,S015,1828.32756016,6212.7048461,S015-FOD-01;S015-MED-01;S015-WAT-01,Q2-014
12,B,U05,BAT-B-02,3131.93299014,4690.39585456,2.09626540189,0.475933649528,25,0.067,3,S009,1558.46286442,6265.44419538,S009-FOD-01;S009-MED-01;S009-WAT-01,Q2-015
11,C,U08,BAT-C-02,4038.91007608,6238.62160075,5.83602066813,0.270497416483,45,0.129,5,S008,2199.71152467,8652.54386504,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,Q2-016
15,B,U06,BAT-B-03,4546.1091603,5734.53392314,1.07393668627,0.731515828432,25,0.067,3,S011,1188.42476283,6866.57315385,S011-FOD-01;S011-MED-01;S011-WAT-01,Q2-017
8,C,U07,BAT-C-01,4594.82884076,6472.01755629,4.22213737338,0.472232828328,59,0.156,6,S005,1877.18871553,8448.84642824,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,Q2-018
6,B,U05,BAT-B-04,4991.39297041,7012.00263551,2.42425540252,0.393936149369,14,0.063,2,S003,2020.60966509,8729.1799766,S003-FOD-02;S003-HYG-01,Q2-019
1,C,U07,BAT-C-03,6585.12866116,8079.30370708,2.99577580536,0.62552802433,78,0.163,6,S001,1494.17504592,9723.9929877,S001-FOD-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06,Q2-020
19,C,U08,BAT-C-04,6908.62983645,9322.21028622,4.28804713771,0.463994107786,70,0.207,7,S006-S007,2413.58044976,11316.8897193,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03;S007-FOD-01;S007-HYG-01;S007-WAT-02,Q2-021
2,C,U07,BAT-C-01,8448.84642824,9943.02147417,2.40502836213,0.699371454733,56,0.18,6,S001,1494.17504592,11427.7166556,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-WAT-07;S001-WAT-08,Q2-022
