route_index,type_id,aircraft_id,battery_id,start_s,return_s,energy_kwh,return_soc,mass_kg,volume_m3,box_count,visit_order,duration_s,battery_recharged_s,boxes,flight_id
1,B,U05,BAT-B-01,0,1756.72408132,2.43267974345,0.391830064138,17,0.039,2,S002,1756.72408132,3477.55197015,S002-MED-01;S002-WAT-01,Q2-001
11,B,U06,BAT-B-02,0,1510.51158878,1.82482819123,0.543792952192,25,0.067,3,S013,1510.51158878,2967.93713832,S013-FOD-01;S013-MED-01;S013-WAT-01,Q2-002
12,C,U07,BAT-C-01,0,1668.73236492,3.23006619701,0.596241725374,25,0.067,3,S010,1668.73236492,3376.87529327,S010-FOD-01;S010-MED-01;S010-WAT-01,Q2-003
14,C,U08,BAT-C-02,0,1561.55262448,2.59793629019,0.675257963726,59,0.156,6,S006,1561.55262448,3098.49370308,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,Q2-004
10,B,U06,BAT-B-03,1510.51158878,3433.33840304,2.75259995448,0.311850011381,25,0.067,3,S012,1922.82681425,5292.79838331,S012-FOD-01;S012-MED-01;S012-WAT-01,Q2-005
16,C,U08,BAT-C-03,1561.55262448,3253.72767041,2.91758809603,0.635301487996,76,0.231,9,S001,1692.17504592,4877.24111308,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-07;S001-WAT-08,Q2-006
15,C,U07,BAT-C-04,1668.73236492,4037.60901346,4.57954153669,0.427557307914,70,0.196,8,S007-S011,2368.87664855,6111.23484632,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02;S011-FOD-01;S011-MED-01;S011-WAT-01,Q2-007
13,B,U05,BAT-B-04,1756.72408132,3626.47175662,2.14029097817,0.464927255459,25,0.067,3,S014,1869.74767529,5220.59784715,S014-FOD-01;S014-MED-01;S014-WAT-01,Q2-008
3,C,U08,BAT-C-02,3253.72767041,5689.90538157,6.32449939108,0.209437576115,67,0.148,6,S003,2436.17771116,8236.12396665,S003-FOD-01;S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,Q2-009
9,B,U06,BAT-B-02,3433.33840304,5261.6659632,2.30752850568,0.423117873579,25,0.067,3,S015,1828.32756016,6928.261649,S015-FOD-01;S015-MED-01;S015-WAT-01,Q2-010
8,B,U05,BAT-B-01,3626.47175662,5184.93462103,2.09626540189,0.475933649528,25,0.067,3,S009,1558.46286442,6759.98296185,S009-FOD-01;S009-MED-01;S009-WAT-01,Q2-011
5,C,U07,BAT-C-01,4037.60901346,6338.66373227,6.15286012898,0.230892483877,59,0.156,6,S004,2301.05471881,8838.39668387,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,Q2-012
4,B,U05,BAT-B-04,5220.59784715,7241.20751225,2.42425540252,0.393936149369,14,0.063,2,S003,2020.60966509,8958.38485334,S003-FOD-02;S003-HYG-01,Q2-013
7,C,U08,BAT-C-03,5689.90538157,7889.61690624,5.83602066813,0.270497416483,45,0.129,5,S008,2199.71152467,10303.5391705,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,Q2-014
2,C,U07,BAT-C-04,6338.66373227,8446.50589832,6.10579695278,0.236775380902,64,0.172,6,S002,2107.84216605,10933.492573,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,Q2-015
0,C,U08,BAT-C-02,8236.12396665,9730.29901257,2.99577580536,0.62552802433,78,0.163,6,S001,1494.17504592,11374.9882932,S001-FOD-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06,Q2-016
6,C,U07,BAT-C-01,8838.39668387,10715.5853994,4.22213737338,0.472232828328,59,0.156,6,S005,1877.18871553,12692.4142714,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,Q2-017
