resource_type,resource_id,type_id,flight_id,occupied_start_s,occupied_end_s,available_again_s,start_soc,end_soc
aircraft,U01,A,Q2-001,0,1727.46688583,1727.46688583,1,0.576581488831
battery,BAT-A-01,A,Q2-001,0,1727.46688583,2777.91095035,1,0.576581488831
aircraft,U02,A,Q2-002,0,1990.39888529,1990.39888529,1,0.490915922755
battery,BAT-A-02,A,Q2-002,0,1990.39888529,3152.20818571,1,0.490915922755
aircraft,U03,A,Q2-003,0,2003.77520846,2003.77520846,1,0.351107181181
battery,BAT-A-03,A,Q2-003,0,2003.77520846,3347.33587292,1,0.351107181181
aircraft,U04,A,Q2-004,0,1594.89266991,1594.89266991,1,0.584896672556
battery,BAT-A-04,A,Q2-004,0,1594.89266991,2634.52699559,1,0.584896672556
aircraft,U05,B,Q2-005,0,1209.10617589,1209.10617589,1,0.731506935552
battery,BAT-B-01,B,Q2-005,0,1209.10617589,2341.16082093,1,0.731506935552
aircraft,U06,B,Q2-006,0,1207.27001136,1207.27001136,1,0.725313176183
battery,BAT-B-02,B,Q2-006,0,1207.27001136,2350.06050597,1,0.725313176183
aircraft,U07,C,Q2-007,0,2107.84216605,2107.84216605,1,0.236775380902
battery,BAT-C-01,C,Q2-007,0,2107.84216605,4594.82884076,1,0.236775380902
aircraft,U08,C,Q2-008,0,1602.73236492,1602.73236492,1,0.606267419229
battery,BAT-C-02,C,Q2-008,0,1602.73236492,3289.15295659,1,0.606267419229
aircraft,U06,B,Q2-009,1207.27001136,2717.78160014,2717.78160014,1,0.543792952192
battery,BAT-B-03,B,Q2-009,1207.27001136,2717.78160014,4175.20714967,1,0.543792952192
aircraft,U05,B,Q2-010,1209.10617589,3131.93299014,3131.93299014,1,0.311850011381
battery,BAT-B-04,B,Q2-010,1209.10617589,3131.93299014,4991.39297041,1,0.311850011381
aircraft,U04,A,Q2-011,1594.89266991,3525.2915552,3525.2915552,1,0.513668306313
battery,BAT-A-05,A,Q2-011,1594.89266991,3525.2915552,4657.522757,1,0.513668306313
aircraft,U08,C,Q2-012,1602.73236492,4038.91007608,4038.91007608,1,0.209437576115
battery,BAT-C-03,C,Q2-012,1602.73236492,4038.91007608,6585.12866116,1,0.209437576115
aircraft,U07,C,Q2-013,2107.84216605,4408.89688486,4408.89688486,1,0.230892483877
battery,BAT-C-04,C,Q2-013,2107.84216605,4408.89688486,6908.62983645,1,0.230892483877
aircraft,U06,B,Q2-014,2717.78160014,4546.1091603,4546.1091603,1,0.423117873579
battery,BAT-B-01,B,Q2-014,2717.78160014,4546.1091603,6212.7048461,1,0.423117873579
aircraft,U05,B,Q2-015,3131.93299014,4690.39585456,4690.39585456,1,0.475933649528
battery,BAT-B-02,B,Q2-015,3131.93299014,4690.39585456,6265.44419538,1,0.475933649528
aircraft,U08,C,Q2-016,4038.91007608,6238.62160075,6238.62160075,1,0.270497416483
battery,BAT-C-02,C,Q2-016,4038.91007608,6238.62160075,8652.54386504,1,0.270497416483
aircraft,U06,B,Q2-017,4546.1091603,5734.53392314,5734.53392314,1,0.731515828432
battery,BAT-B-03,B,Q2-017,4546.1091603,5734.53392314,6866.57315385,1,0.731515828432
aircraft,U07,C,Q2-018,4594.82884076,6472.01755629,6472.01755629,1,0.472232828328
battery,BAT-C-01,C,Q2-018,4594.82884076,6472.01755629,8448.84642824,1,0.472232828328
aircraft,U05,B,Q2-019,4991.39297041,7012.00263551,7012.00263551,1,0.393936149369
battery,BAT-B-04,B,Q2-019,4991.39297041,7012.00263551,8729.1799766,1,0.393936149369
aircraft,U07,C,Q2-020,6585.12866116,8079.30370708,8079.30370708,1,0.62552802433
battery,BAT-C-03,C,Q2-020,6585.12866116,8079.30370708,9723.9929877,1,0.62552802433
aircraft,U08,C,Q2-021,6908.62983645,9322.21028622,9322.21028622,1,0.463994107786
battery,BAT-C-04,C,Q2-021,6908.62983645,9322.21028622,11316.8897193,1,0.463994107786
aircraft,U07,C,Q2-022,8448.84642824,9943.02147417,9943.02147417,1,0.699371454733
battery,BAT-C-01,C,Q2-022,8448.84642824,9943.02147417,11427.7166556,1,0.699371454733
