box_id,service_id,delivery_s,expected_s,hard_deadline_s,priority,type_id,aircraft_id,battery_id,route_index,flight_id
S006-MED-01,S006,882.398339011,3600,3600,24,B,U06,BAT-B-02,9,Q3-T-006
S006-WAT-01,S006,882.398339011,3600,3600,12,B,U06,BAT-B-02,9,Q3-T-006
S001-MED-01,S001,917.676421277,3600,3600,24,B,U05,BAT-B-01,0,Q3-T-005
S001-MED-02,S001,917.676421277,3600,3600,24,B,U05,BAT-B-01,0,Q3-T-005
S001-WAT-01,S001,917.676421277,3600,3600,12,B,U05,BAT-B-01,0,Q3-T-005
S010-FOD-01,S010,1050.3924557,7200,,10,A,U04,BAT-A-04,14,Q3-T-004
S010-MED-01,S010,1101.58063654,3600,3600,24,C,U08,BAT-C-02,13,Q3-T-008
S010-WAT-01,S010,1101.58063654,3600,3600,12,C,U08,BAT-C-02,13,Q3-T-008
S007-MED-01,S007,1141.37344292,3600,3600,24,A,U01,BAT-A-01,10,Q3-T-001
S007-WAT-01,S007,1141.37344292,3600,3600,12,A,U01,BAT-A-01,10,Q3-T-001
S014-MED-01,S014,1278.16556339,7200,3600,22,A,U02,BAT-A-02,16,Q3-T-002
S014-WAT-01,S014,1278.16556339,3600,3600,12,A,U02,BAT-A-02,16,Q3-T-002
S002-MED-01,S002,1289.23705831,3600,3600,24,A,U03,BAT-A-03,3,Q3-T-003
S002-WAT-01,S002,1289.23705831,3600,3600,12,A,U03,BAT-A-03,3,Q3-T-003
S002-FOD-01,S002,1492.7405371,7200,,10,C,U07,BAT-C-01,4,Q3-T-007
S002-FOD-02,S002,1492.7405371,7200,,10,C,U07,BAT-C-01,4,Q3-T-007
S002-HYG-01,S002,1492.7405371,10800,,8,C,U07,BAT-C-01,4,Q3-T-007
S002-WAT-02,S002,1492.7405371,3600,,12,C,U07,BAT-C-01,4,Q3-T-007
S002-WAT-03,S002,1492.7405371,3600,,12,C,U07,BAT-C-01,4,Q3-T-007
S002-WAT-04,S002,1492.7405371,3600,,12,C,U07,BAT-C-01,4,Q3-T-007
S013-FOD-01,S013,2275.46859316,7200,,10,B,U06,BAT-B-03,21,Q3-T-009
S013-MED-01,S013,2275.46859316,3600,3600,24,B,U06,BAT-B-03,21,Q3-T-009
S013-WAT-01,S013,2275.46859316,3600,3600,12,B,U06,BAT-B-03,21,Q3-T-009
S012-FOD-01,S012,2485.85903709,7200,,10,B,U05,BAT-B-04,20,Q3-T-010
S012-MED-01,S012,2485.85903709,7200,3600,22,B,U05,BAT-B-04,20,Q3-T-010
S012-WAT-01,S012,2485.85903709,3600,3600,12,B,U05,BAT-B-04,20,Q3-T-010
S014-FOD-01,S014,2813.0582333,7200,,10,A,U04,BAT-A-05,17,Q3-T-011
S003-FOD-01,S003,3454.23548091,10800,,8,C,U08,BAT-C-03,5,Q3-T-012
S003-MED-01,S003,3454.23548091,7200,7200,20,C,U08,BAT-C-03,5,Q3-T-012
S003-WAT-01,S003,3454.23548091,7200,7200,10,C,U08,BAT-C-03,5,Q3-T-012
S003-WAT-02,S003,3454.23548091,7200,,10,C,U08,BAT-C-03,5,Q3-T-012
S003-WAT-03,S003,3454.23548091,7200,,10,C,U08,BAT-C-03,5,Q3-T-012
S003-WAT-04,S003,3454.23548091,7200,,10,C,U08,BAT-C-03,5,Q3-T-012
S004-FOD-01,S004,5273.55628102,10800,,8,C,U07,BAT-C-04,7,Q3-T-013
S004-HYG-01,S004,5273.55628102,14400,,6,C,U07,BAT-C-04,7,Q3-T-013
S004-MED-01,S004,5273.55628102,7200,7200,20,C,U07,BAT-C-04,7,Q3-T-013
S004-WAT-01,S004,5273.55628102,7200,7200,10,C,U07,BAT-C-04,7,Q3-T-013
S004-WAT-02,S004,5273.55628102,7200,,10,C,U07,BAT-C-04,7,Q3-T-013
S004-WAT-03,S004,5273.55628102,7200,,10,C,U07,BAT-C-04,7,Q3-T-013
