transport_flight_id,visit_order,communication_samples,direct_samples,relay_samples,direct_fraction,relay_required,hover_site_id,min_direct_margin_db,min_access_margin_db,first_relay_need_s,last_relay_need_s
Q3-T-001,S007,691,478,213,0.691751085384,True,H161,-1.21315652908,11.6754470729,818,1238
Q3-T-002,S014,823,494,329,0.600243013366,True,H170,-2.76254846438,6.27579563852,841.409454083,1489.40945408
Q3-T-003,S002,829,392,437,0.472858866104,True,H170,-5.4544475579,1.66210402145,749.409454083,1613.40945408
Q3-T-004,S010,640,437,203,0.6828125,True,H170,-1.66697291809,9.19438282302,759.409454083,1155.40945408
Q3-T-005,S001,417,417,0,1,False,,2.24100856332,,,
Q3-T-006,S006,431,431,0,1,False,,1.85996174426,,,
Q3-T-007,S002,821,343,478,0.41778319123,True,H170,-5.4544475579,1.66210402145,817.409454083,1763.40945408
Q3-T-008,S010,629,400,229,0.635930047695,True,H170,-1.66697291809,9.28492508529,747.409454083,1195.40945408
Q3-T-009,S013,568,360,208,0.633802816901,True,H170,-1.77988927353,9.38230826097,1950.67946544,2356.67946544
Q3-T-010,S012,774,366,408,0.472868217054,True,H170,-5.43405539983,7.12616310027,1958.51562997,2764.51562997
Q3-T-011,S014,808,494,314,0.611386138614,True,H170,-2.76254846438,6.27579563852,2406.30212399,3024.30212399
Q3-T-012,S003,986,455,531,0.461460446247,True,H161,-5.29162043631,5.78507452221,2718.68662533,3770.68662533
Q3-T-013,S004,918,500,418,0.544662309368,True,H039,-5.8051624007,11.9093788385,4654.05892162,5480.05892162
Q3-T-014,S015,727,423,304,0.581843191197,True,H161,-3.6529442698,14.2092581371,3719.73586055,4317.73586055
Q3-T-015,S009,592,322,270,0.543918918919,True,H161,-3.18262159269,0.714529614332,4041.88725055,4571.88725055
Q3-T-016,S008,882,408,474,0.462585034014,True,H161,-6.20486586232,2.97826347566,5088.86433649,6026.86433649
Q3-T-017,S011,407,407,0,1,False,,2.96550809411,,,
Q3-T-018,S005,706,350,356,0.495750708215,True,H161,-2.51284808004,5.40312898906,6809.11364043,7511.11364043
Q3-T-019,S003,838,419,419,0.5,True,H161,-5.29162043631,5.78507452221,5959.34723082,6787.34723082
Q3-T-020,S001,515,515,0,1,False,,2.24100856332,,,
Q3-T-021,S006-S007,963,691,272,0.717549325026,True,H161,-1.22028526656,9.45273754512,9884.84659202,10442.846592
Q3-T-022,S001,515,515,0,1,False,,2.24100856332,,,
