resource_class,resource_id,task_id,occupied_start_s,occupied_end_s,available_again_s,start_soc,end_soc
transport_aircraft,U01,Q3-T-001,0,1727.46688583,1727.46688583,1,0.576581488831
transport_battery,BAT-A-01,Q3-T-001,0,1727.46688583,2777.91095035,1,0.576581488831
transport_aircraft,U02,Q3-T-002,5.4094540827,1995.80833937,1995.80833937,1,0.490915922755
transport_battery,BAT-A-02,Q3-T-002,5.4094540827,1995.80833937,3157.61763979,1,0.490915922755
transport_aircraft,U03,Q3-T-003,5.4094540827,2009.18466254,2009.18466254,1,0.351107181181
transport_battery,BAT-A-03,Q3-T-003,5.4094540827,2009.18466254,3352.745327,1,0.351107181181
transport_aircraft,U04,Q3-T-004,5.4094540827,1600.30212399,1600.30212399,1,0.584896672556
transport_battery,BAT-A-04,Q3-T-004,5.4094540827,1600.30212399,2639.93644967,1,0.584896672556
transport_aircraft,U05,Q3-T-005,0,1209.10617589,1209.10617589,1,0.731506935552
transport_battery,BAT-B-01,Q3-T-005,0,1209.10617589,2341.16082093,1,0.731506935552
transport_aircraft,U06,Q3-T-006,0,1207.27001136,1207.27001136,1,0.725313176183
transport_battery,BAT-B-02,Q3-T-006,0,1207.27001136,2350.06050597,1,0.725313176183
transport_aircraft,U07,Q3-T-007,5.4094540827,2113.25162013,2113.25162013,1,0.236775380902
transport_battery,BAT-C-01,Q3-T-007,5.4094540827,2113.25162013,4600.23829484,1,0.236775380902
transport_aircraft,U08,Q3-T-008,5.4094540827,1608.141819,1608.141819,1,0.606267419229
transport_battery,BAT-C-02,Q3-T-008,5.4094540827,1608.141819,3294.56241067,1,0.606267419229
transport_aircraft,U06,Q3-T-009,1212.67946544,2723.19105422,2723.19105422,1,0.543792952192
transport_battery,BAT-B-03,Q3-T-009,1212.67946544,2723.19105422,4180.61660375,1,0.543792952192
transport_aircraft,U05,Q3-T-010,1214.51562997,3137.34244422,3137.34244422,1,0.311850011381
transport_battery,BAT-B-04,Q3-T-010,1214.51562997,3137.34244422,4996.80242449,1,0.311850011381
transport_aircraft,U04,Q3-T-011,1600.30212399,3530.70100928,3530.70100928,1,0.513668306313
transport_battery,BAT-A-05,Q3-T-011,1600.30212399,3530.70100928,4662.93221108,1,0.513668306313
transport_aircraft,U08,Q3-T-012,1808.68662533,4244.86433649,4244.86433649,1,0.209437576115
transport_battery,BAT-C-03,Q3-T-012,1808.68662533,4244.86433649,6791.08292157,1,0.209437576115
transport_aircraft,U07,Q3-T-013,3690.05892162,5991.11364043,5991.11364043,1,0.230892483877
transport_battery,BAT-C-04,Q3-T-013,3690.05892162,5991.11364043,8490.84659202,1,0.230892483877
transport_aircraft,U06,Q3-T-014,2923.73586055,4752.06342071,4752.06342071,1,0.423117873579
transport_battery,BAT-B-01,Q3-T-014,2923.73586055,4752.06342071,6418.65910651,1,0.423117873579
transport_aircraft,U05,Q3-T-015,3337.88725055,4896.35011497,4896.35011497,1,0.475933649528
transport_battery,BAT-B-02,Q3-T-015,3337.88725055,4896.35011497,6471.39845579,1,0.475933649528
transport_aircraft,U08,Q3-T-016,4244.86433649,6444.57586116,6444.57586116,1,0.270497416483
transport_battery,BAT-C-02,Q3-T-016,4244.86433649,6444.57586116,8858.49812545,1,0.270497416483
transport_aircraft,U06,Q3-T-017,4752.06342071,5940.48818355,5940.48818355,1,0.731515828432
transport_battery,BAT-B-03,Q3-T-017,4752.06342071,5940.48818355,7072.52741426,1,0.731515828432
transport_aircraft,U07,Q3-T-018,5991.11364043,7868.30235596,7868.30235596,1,0.472232828328
transport_battery,BAT-C-01,Q3-T-018,5991.11364043,7868.30235596,9845.13122791,1,0.472232828328
transport_aircraft,U05,Q3-T-019,5197.34723082,7217.95689592,7217.95689592,1,0.393936149369
transport_battery,BAT-B-04,Q3-T-019,5197.34723082,7217.95689592,8935.13423701,1,0.393936149369
transport_aircraft,U07,Q3-T-020,7868.30235596,9362.47740188,9362.47740188,1,0.62552802433
transport_battery,BAT-C-03,Q3-T-020,7868.30235596,9362.47740188,11007.1666825,1,0.62552802433
transport_aircraft,U08,Q3-T-021,8490.84659202,10904.4270418,10904.4270418,1,0.463994107786
transport_battery,BAT-C-04,Q3-T-021,8490.84659202,10904.4270418,12899.1064749,1,0.463994107786
transport_aircraft,U07,Q3-T-022,9845.13122791,11339.3062738,11339.3062738,1,0.699371454733
transport_battery,BAT-C-01,Q3-T-022,9845.13122791,11339.3062738,12824.0014553,1,0.699371454733
relay_aircraft,R01,Q3-R-001,1,3608.87268139,3908.87268139,1,0.688281607964
relay_energy,RE-R-01,Q3-R-001,1,3608.87268139,4514.10659103,1,0.688281607964
relay_aircraft,R02,Q3-R-002,146.631332823,1746.31795815,2046.31795815,1,0.880249380326
relay_energy,RE-R-02,Q3-R-002,146.631332823,1746.31795815,2401.99376373,1,0.880249380326
relay_aircraft,R02,Q3-R-003,2047.31795815,8019.43159858,8319.43159858,1,0.462743328537
relay_energy,RE-R-03,Q3-R-003,2047.31795815,8019.43159858,9217.86527148,1,0.462743328537
relay_aircraft,R01,Q3-R-004,3909.87268139,6055.15734599,6355.15734599,1,0.825340673501
relay_energy,RE-R-02,Q3-R-004,3909.87268139,6055.15734599,6782.21447044,1,0.825340673501
relay_aircraft,R02,Q3-R-005,9213.47792484,10951.1645502,11251.1645502,1,0.867072296993
relay_energy,RE-R-02,Q3-R-005,9213.47792484,10951.1645502,11623.9705641,1,0.867072296993
