scenario,group_id,service_id,atomic_unit
2组,G1,S002,S002
2组,G1,S004,S004
2组,G1,S005,S005
2组,G1,S006,S006;S007
2组,G1,S007,S006;S007
2组,G1,S011,S011
2组,G1,S013,S013
2组,G1,S015,S015
2组,G2,S001,S001
2组,G2,S003,S003
2组,G2,S008,S008
2组,G2,S009,S009
2组,G2,S010,S010
2组,G2,S012,S012
2组,G2,S014,S014
3组,G1,S003,S003
3组,G1,S006,S006;S007
3组,G1,S007,S006;S007
3组,G1,S008,S008
3组,G1,S015,S015
3组,G2,S001,S001
3组,G2,S002,S002
3组,G2,S005,S005
3组,G2,S009,S009
3组,G2,S012,S012
3组,G3,S004,S004
3组,G3,S010,S010
3组,G3,S011,S011
3组,G3,S013,S013
3组,G3,S014,S014
