scenario,group_id,task_class,task_id,resource_class,local_resource_id,occupied_start_s,occupied_end_s,available_again_s
2组,G1,运输架次,Q3-T-001,运输机A,2组-G1-UA-01,0,1727.46688583,1727.46688583
2组,G1,运输架次,Q3-T-001,运输电池A,2组-G1-BATA-01,0,1727.46688583,2777.91095035
2组,G1,运输架次,Q3-T-003,运输机A,2组-G1-UA-02,5.4094540827,2009.18466254,2009.18466254
2组,G1,运输架次,Q3-T-003,运输电池A,2组-G1-BATA-02,5.4094540827,2009.18466254,3352.745327
2组,G1,运输架次,Q3-T-006,运输机B,2组-G1-UB-01,0,1207.27001136,1207.27001136
2组,G1,运输架次,Q3-T-006,运输电池B,2组-G1-BATB-01,0,1207.27001136,2350.06050597
2组,G1,运输架次,Q3-T-009,运输机B,2组-G1-UB-01,1212.67946544,2723.19105422,2723.19105422
2组,G1,运输架次,Q3-T-009,运输电池B,2组-G1-BATB-02,1212.67946544,2723.19105422,4180.61660375
2组,G1,运输架次,Q3-T-014,运输机B,2组-G1-UB-01,2923.73586055,4752.06342071,4752.06342071
2组,G1,运输架次,Q3-T-014,运输电池B,2组-G1-BATB-01,2923.73586055,4752.06342071,6418.65910651
2组,G1,运输架次,Q3-T-017,运输机B,2组-G1-UB-01,4752.06342071,5940.48818355,5940.48818355
2组,G1,运输架次,Q3-T-017,运输电池B,2组-G1-BATB-02,4752.06342071,5940.48818355,7072.52741426
2组,G1,运输架次,Q3-T-007,运输机C,2组-G1-UC-01,5.4094540827,2113.25162013,2113.25162013
2组,G1,运输架次,Q3-T-007,运输电池C,2组-G1-BATC-01,5.4094540827,2113.25162013,4600.23829484
2组,G1,运输架次,Q3-T-013,运输机C,2组-G1-UC-01,3690.05892162,5991.11364043,5991.11364043
2组,G1,运输架次,Q3-T-013,运输电池C,2组-G1-BATC-02,3690.05892162,5991.11364043,8490.84659202
2组,G1,运输架次,Q3-T-018,运输机C,2组-G1-UC-01,5991.11364043,7868.30235596,7868.30235596
2组,G1,运输架次,Q3-T-018,运输电池C,2组-G1-BATC-01,5991.11364043,7868.30235596,9845.13122791
2组,G1,运输架次,Q3-T-021,运输机C,2组-G1-UC-01,8490.84659202,10904.4270418,10904.4270418
2组,G1,运输架次,Q3-T-021,运输电池C,2组-G1-BATC-02,8490.84659202,10904.4270418,12899.1064749
2组,G1,中继架次,Q3-R-001,中继无人机,2组-G1-R-01,1,3608.87268139,3908.87268139
2组,G1,中继架次,Q3-R-001,中继能源组件,2组-G1-RE-01,1,3608.87268139,4514.10659103
2组,G1,中继架次,Q3-R-002,中继无人机,2组-G1-R-02,146.631332823,1746.31795815,2046.31795815
2组,G1,中继架次,Q3-R-002,中继能源组件,2组-G1-RE-02,146.631332823,1746.31795815,2401.99376373
2组,G1,中继架次,Q3-R-003,中继无人机,2组-G1-R-02,2047.31795815,8019.43159858,8319.43159858
2组,G1,中继架次,Q3-R-003,中继能源组件,2组-G1-RE-03,2047.31795815,8019.43159858,9217.86527148
2组,G1,中继架次,Q3-R-004,中继无人机,2组-G1-R-01,3909.87268139,6055.15734599,6355.15734599
2组,G1,中继架次,Q3-R-004,中继能源组件,2组-G1-RE-02,3909.87268139,6055.15734599,6782.21447044
2组,G1,中继架次,Q3-R-005,中继无人机,2组-G1-R-01,9213.47792484,10951.1645502,11251.1645502
2组,G1,中继架次,Q3-R-005,中继能源组件,2组-G1-RE-01,9213.47792484,10951.1645502,11623.9705641
2组,G2,运输架次,Q3-T-002,运输机A,2组-G2-UA-02,5.4094540827,1995.80833937,1995.80833937
2组,G2,运输架次,Q3-T-002,运输电池A,2组-G2-BATA-02,5.4094540827,1995.80833937,3157.61763979
2组,G2,运输架次,Q3-T-004,运输机A,2组-G2-UA-01,5.4094540827,1600.30212399,1600.30212399
2组,G2,运输架次,Q3-T-004,运输电池A,2组-G2-BATA-01,5.4094540827,1600.30212399,2639.93644967
2组,G2,运输架次,Q3-T-011,运输机A,2组-G2-UA-01,1600.30212399,3530.70100928,3530.70100928
2组,G2,运输架次,Q3-T-011,运输电池A,2组-G2-BATA-03,1600.30212399,3530.70100928,4662.93221108
2组,G2,运输架次,Q3-T-005,运输机B,2组-G2-UB-01,0,1209.10617589,1209.10617589
2组,G2,运输架次,Q3-T-005,运输电池B,2组-G2-BATB-01,0,1209.10617589,2341.16082093
2组,G2,运输架次,Q3-T-010,运输机B,2组-G2-UB-01,1214.51562997,3137.34244422,3137.34244422
2组,G2,运输架次,Q3-T-010,运输电池B,2组-G2-BATB-02,1214.51562997,3137.34244422,4996.80242449
2组,G2,运输架次,Q3-T-015,运输机B,2组-G2-UB-01,3337.88725055,4896.35011497,4896.35011497
2组,G2,运输架次,Q3-T-015,运输电池B,2组-G2-BATB-01,3337.88725055,4896.35011497,6471.39845579
2组,G2,运输架次,Q3-T-019,运输机B,2组-G2-UB-01,5197.34723082,7217.95689592,7217.95689592
2组,G2,运输架次,Q3-T-019,运输电池B,2组-G2-BATB-02,5197.34723082,7217.95689592,8935.13423701
2组,G2,运输架次,Q3-T-008,运输机C,2组-G2-UC-01,5.4094540827,1608.141819,1608.141819
2组,G2,运输架次,Q3-T-008,运输电池C,2组-G2-BATC-01,5.4094540827,1608.141819,3294.56241067
2组,G2,运输架次,Q3-T-012,运输机C,2组-G2-UC-01,1808.68662533,4244.86433649,4244.86433649
2组,G2,运输架次,Q3-T-012,运输电池C,2组-G2-BATC-02,1808.68662533,4244.86433649,6791.08292157
2组,G2,运输架次,Q3-T-016,运输机C,2组-G2-UC-01,4244.86433649,6444.57586116,6444.57586116
2组,G2,运输架次,Q3-T-016,运输电池C,2组-G2-BATC-01,4244.86433649,6444.57586116,8858.49812545
2组,G2,运输架次,Q3-T-020,运输机C,2组-G2-UC-01,7868.30235596,9362.47740188,9362.47740188
2组,G2,运输架次,Q3-T-020,运输电池C,2组-G2-BATC-02,7868.30235596,9362.47740188,11007.1666825
2组,G2,运输架次,Q3-T-022,运输机C,2组-G2-UC-01,9845.13122791,11339.3062738,11339.3062738
2组,G2,运输架次,Q3-T-022,运输电池C,2组-G2-BATC-01,9845.13122791,11339.3062738,12824.0014553
2组,G2,中继架次,Q3-R-001,中继无人机,2组-G2-R-01,1,3608.87268139,3908.87268139
2组,G2,中继架次,Q3-R-001,中继能源组件,2组-G2-RE-01,1,3608.87268139,4514.10659103
2组,G2,中继架次,Q3-R-003,中继无人机,2组-G2-R-02,2047.31795815,8019.43159858,8319.43159858
2组,G2,中继架次,Q3-R-003,中继能源组件,2组-G2-RE-02,2047.31795815,8019.43159858,9217.86527148
3组,G1,运输架次,Q3-T-001,运输机A,3组-G1-UA-01,0,1727.46688583,1727.46688583
3组,G1,运输架次,Q3-T-001,运输电池A,3组-G1-BATA-01,0,1727.46688583,2777.91095035
3组,G1,运输架次,Q3-T-006,运输机B,3组-G1-UB-01,0,1207.27001136,1207.27001136
3组,G1,运输架次,Q3-T-006,运输电池B,3组-G1-BATB-01,0,1207.27001136,2350.06050597
3组,G1,运输架次,Q3-T-014,运输机B,3组-G1-UB-01,2923.73586055,4752.06342071,4752.06342071
3组,G1,运输架次,Q3-T-014,运输电池B,3组-G1-BATB-01,2923.73586055,4752.06342071,6418.65910651
3组,G1,运输架次,Q3-T-019,运输机B,3组-G1-UB-01,5197.34723082,7217.95689592,7217.95689592
3组,G1,运输架次,Q3-T-019,运输电池B,3组-G1-BATB-02,5197.34723082,7217.95689592,8935.13423701
3组,G1,运输架次,Q3-T-012,运输机C,3组-G1-UC-01,1808.68662533,4244.86433649,4244.86433649
3组,G1,运输架次,Q3-T-012,运输电池C,3组-G1-BATC-01,1808.68662533,4244.86433649,6791.08292157
3组,G1,运输架次,Q3-T-016,运输机C,3组-G1-UC-01,4244.86433649,6444.57586116,6444.57586116
3组,G1,运输架次,Q3-T-016,运输电池C,3组-G1-BATC-02,4244.86433649,6444.57586116,8858.49812545
3组,G1,运输架次,Q3-T-021,运输机C,3组-G1-UC-01,8490.84659202,10904.4270418,10904.4270418
3组,G1,运输架次,Q3-T-021,运输电池C,3组-G1-BATC-01,8490.84659202,10904.4270418,12899.1064749
3组,G1,中继架次,Q3-R-002,中继无人机,3组-G1-R-01,146.631332823,1746.31795815,2046.31795815
3组,G1,中继架次,Q3-R-002,中继能源组件,3组-G1-RE-01,146.631332823,1746.31795815,2401.99376373
3组,G1,中继架次,Q3-R-003,中继无人机,3组-G1-R-01,2047.31795815,8019.43159858,8319.43159858
3组,G1,中继架次,Q3-R-003,中继能源组件,3组-G1-RE-02,2047.31795815,8019.43159858,9217.86527148
3组,G1,中继架次,Q3-R-005,中继无人机,3组-G1-R-01,9213.47792484,10951.1645502,11251.1645502
3组,G1,中继架次,Q3-R-005,中继能源组件,3组-G1-RE-01,9213.47792484,10951.1645502,11623.9705641
3组,G2,运输架次,Q3-T-003,运输机A,3组-G2-UA-01,5.4094540827,2009.18466254,2009.18466254
3组,G2,运输架次,Q3-T-003,运输电池A,3组-G2-BATA-01,5.4094540827,2009.18466254,3352.745327
3组,G2,运输架次,Q3-T-005,运输机B,3组-G2-UB-01,0,1209.10617589,1209.10617589
3组,G2,运输架次,Q3-T-005,运输电池B,3组-G2-BATB-01,0,1209.10617589,2341.16082093
3组,G2,运输架次,Q3-T-010,运输机B,3组-G2-UB-01,1214.51562997,3137.34244422,3137.34244422
3组,G2,运输架次,Q3-T-010,运输电池B,3组-G2-BATB-02,1214.51562997,3137.34244422,4996.80242449
3组,G2,运输架次,Q3-T-015,运输机B,3组-G2-UB-01,3337.88725055,4896.35011497,4896.35011497
3组,G2,运输架次,Q3-T-015,运输电池B,3组-G2-BATB-01,3337.88725055,4896.35011497,6471.39845579
3组,G2,运输架次,Q3-T-007,运输机C,3组-G2-UC-01,5.4094540827,2113.25162013,2113.25162013
3组,G2,运输架次,Q3-T-007,运输电池C,3组-G2-BATC-01,5.4094540827,2113.25162013,4600.23829484
3组,G2,运输架次,Q3-T-018,运输机C,3组-G2-UC-01,5991.11364043,7868.30235596,7868.30235596
3组,G2,运输架次,Q3-T-018,运输电池C,3组-G2-BATC-01,5991.11364043,7868.30235596,9845.13122791
3组,G2,运输架次,Q3-T-020,运输机C,3组-G2-UC-01,7868.30235596,9362.47740188,9362.47740188
3组,G2,运输架次,Q3-T-020,运输电池C,3组-G2-BATC-02,7868.30235596,9362.47740188,11007.1666825
3组,G2,运输架次,Q3-T-022,运输机C,3组-G2-UC-01,9845.13122791,11339.3062738,11339.3062738
3组,G2,运输架次,Q3-T-022,运输电池C,3组-G2-BATC-01,9845.13122791,11339.3062738,12824.0014553
3组,G2,中继架次,Q3-R-001,中继无人机,3组-G2-R-01,1,3608.87268139,3908.87268139
3组,G2,中继架次,Q3-R-001,中继能源组件,3组-G2-RE-01,1,3608.87268139,4514.10659103
3组,G2,中继架次,Q3-R-003,中继无人机,3组-G2-R-02,2047.31795815,8019.43159858,8319.43159858
3组,G2,中继架次,Q3-R-003,中继能源组件,3组-G2-RE-02,2047.31795815,8019.43159858,9217.86527148
3组,G3,运输架次,Q3-T-002,运输机A,3组-G3-UA-02,5.4094540827,1995.80833937,1995.80833937
3组,G3,运输架次,Q3-T-002,运输电池A,3组-G3-BATA-02,5.4094540827,1995.80833937,3157.61763979
3组,G3,运输架次,Q3-T-004,运输机A,3组-G3-UA-01,5.4094540827,1600.30212399,1600.30212399
3组,G3,运输架次,Q3-T-004,运输电池A,3组-G3-BATA-01,5.4094540827,1600.30212399,2639.93644967
3组,G3,运输架次,Q3-T-011,运输机A,3组-G3-UA-01,1600.30212399,3530.70100928,3530.70100928
3组,G3,运输架次,Q3-T-011,运输电池A,3组-G3-BATA-03,1600.30212399,3530.70100928,4662.93221108
3组,G3,运输架次,Q3-T-009,运输机B,3组-G3-UB-01,1212.67946544,2723.19105422,2723.19105422
